hName,hAddress
Southeast Health Medical Center,1108 Ross Clark Circle
Marshall Medical Centers,2505 U S Highway 431 North
North Alabama Medical Center,1701 Veterans Drive
Mizell Memorial Hospital,702 N Main St
Crenshaw Community Hospital,101 Hospital Circle
St. Vincent'S East,50 Medical Park East Drive
Dekalb Regional Medical Center,200 Med Center Drive
Shelby Baptist Medical Center,1000 First Street North
Callahan Eye Hospital,1720 University Blvd Ste 305
Helen Keller Hospital,1300 South Montgomery Avenue
Dale Medical Center,126 Hospital Ave
Cherokee Medical Center,400 Northwood Dr
Baptist Medical Center South,2105 East South Boulevard
Jackson Hospital & Clinic Inc,1725 Pine Street
The East Alabama Healthcare Authority,2000 Pepperell Parkway
University Of Alabama Hospital,619 South 19Th Street
Community Hospital Inc,805 Friendship Road
Cullman Regional Medical Center,1912 Alabama Highway 157
Andalusia Health,849 South Three Notch Street
Huntsville Hospital,101 Sivley Rd
Gadsden Regional Medical Center,1007 Goodyear Avenue
Marion Regional Medical Center,1256 Military Street South
Fayette Medical Center,1653 Temple Avenue North
Riverview Regional Medical Center,600 South Third Street
Medical Center Enterprise,400 N Edwards Street
Greene County Hospital,509 Wilson Avenue
Lake Martin Community Hospital,201 Mariarden Road
Flowers Hospital,4370 West Main Street
St Vincent'S Birmingham,810 St Vincent'S Drive
Bibb Medical Center,208 Pierson Ave
Lawrence Medical Center,202 Hospital Street
Highlands Medical Center,380 Woods Cove Road
Wiregrass Medical Center,1200 W Maple Avenue
Russell Medical Center,3316 Highway 280
Medical Center Barbour,820 W Washington St
Clay County Hospital,83825 Highway 9    P O Box 1270
Northeast Alabama Regional Medical Center,400 East 10Th Street
Athens Limestone Hospital,700 West Market Street
South Baldwin Regional Medical Center,1613 North Mckenzie Street
Decatur Morgan Hospital - Decatur Campus,1201 7Th Street Se
Northwest Medical Center,1530 U S Highway 43
Usa Health University Hospital,2451 Fillingim Street
Walker Baptist Medical Center,3400 Highway 78 East
Providence Hospital,6801 Airport Boulevard
Grove Hill Memorial Hospital,295 Jackson Hwy S
Dch Regional Medical Center,809 University Boulevard East
Hale County Hospital,508 Green Street
Elmore Community Hospital,500 Hospital Drive
D W Mcmillan Memorial Hospital,1301 Belleville Avenue
Thomas Hospital,750 Morphy Avenue
Citizens Baptist Medical Center,604 Stone Avenue
J Paul Jones Hospital,317 Mcwilliams Avenue
Princeton Baptist Medical Center,701 Princeton Avenue Southwest
Grandview Medical Center,3690 Grandview Parkway
Prattville Baptist Hospital,124 S Memorial Dr
Bullock County Hospital,102 West Conecuh Avenue
Whitfield Regional Hospital,105 Highway 80 East
Mobile Infirmary Medical Center,5 Mobile Infirmary Circle
"Medical West, An Affiliate Of Uab Health System",995 9Th Avenue Southwest
Vaughan Regional Medical Center Parkway Campus,1015 Medical Center Parkway
Monroe County Hospital,2016 South Alabama Avenue
Lakeland Community Hospital,42024 Highway 195 E
Troy Regional Medical Center,1330 Highway 231 South
Jackson Medical Center,220 Hospital Drive
North Baldwin Infirmary,1815 Hand Avenue
St Vincent'S St Clair,7063 Veterans Parkway
Crestwood Medical Center,One Hospital Dr Se
Hill Hospital Of Sumter County,751 Derby Drive
Brookwood Baptist Medical Center,2010 Brookwood Medical Center Drive
Springhill Medical Center,3719 Dauphin Street
Evergreen Medical Center,101 Crestview Avenue
Baptist Medical Center East,400 Taylor Road
Birmingham Va Medical Center,700 South 19Th Street
The Health Care Authority Of The City Of Greenville- Lv Stabler Hospital,29 L V Stabler Drive
North Alabama Shoals Hospital,201 West Avalon Avenue
Russellville Hospital,15155 Highway 43
Coosa Valley Medical Center,315 W Hickory St
Jack Hughston Memorial Hospital,4401 River Chase Drive
Atmore Community Hospital,401 Medical Park Drive
St Vincent'S Chilton,2030 Lay Dam Road
Thomasville Regional Medical Center,300 Med Park Drive
Eamc-Lanier,4800 48Th Street
Va Central Alabama Healthcare System - Montgomery,215 Perry Hill Road
Tuscaloosa Va Medical Center,3701 Loop Road East
Washington County Hospital,14600 St. Stephens Avenue
Red Bay Hospital,211 Hospital Road
Choctaw General Hospital,"401 Vanity Fair Lane, Po Box 618"
St Vincents Blount,150 Gilbreath Drive
Tanner Medical Center-East Alabama,1032 Main Street South
The Children'S Hospital Of Alabama,1600 Seventh Avenue South
Usa Health Children'S & Women'S Hospital,1700 Center Street
Hill Crest Behavioral Health Services,6869 Fifth Avenue South
Mountain View Hospital,3201 Scenic Highway
Bryce Hospital,200 University Blvd
Mary S Harper Geriatric Psychiatry Center,201 University Blvd
Baypointe Behavioral Health,5800 Southland Drive
Beacon Children'S Hospital,150 Hospital Drive
"Sanctuary At The Woodlands, The","1910 Cherokee Avenue, Sw"
Eastpointe Hospital,7400 Roper Lane
Unity Psychiatric Care - Huntsville,"5315 Millenium Drive, Nw"
Providence Alaska Medical Center,3200 Providence Drive
Mat-Su Regional Medical Center,2500 South Woodworth Loop
Bartlett Regional Hospital,3260 Hospital Dr
Fairbanks Memorial Hospital,1650 Cowles Street
Alaska Regional Hospital,2801 Debarr Road
Yukon Kuskokwim Delta Reg Hospital,Po Box 287
Central Peninsula General Hospital,250 Hospital Place
Alaska Native Medical Center,4315 Diplomacy Dr
673Rd Medical Group (Joint Base Elmendorf-Richardson),673 Mdg 5955 Zeamer Ave
Bassett Ach (Ft Wainwright),4076 Neely Road
Providence Valdez Medical Center,Po Box 550
Providence Seward Hospital,"417 First Avenue, Po Box 365"
Petersburg Medical Center,Po Box 589
Searhc Wrangell Medical Center-Cah,232 Wood Street
Providence Kodiak Island Medical Ctr,1915 East Rezanof Drive
Cordova Community Medical Center,Po Box 160 - 602 Chase Avenue
Norton Sound Regional Hospital,1000 Greg Kruschek Avenue (P O Box 966)
Bristol Bay Area Health Corporation,P O Box 130
Maniilaq Health Center,Po Box 43
Peacehealth Ketchikan Medical Center,3100 Tongass Avenue
Samuel Simmonds Memorial Hospital,7000 Uula St
South Peninsula Hospital,4300 Bartlett St
Southeast Alaska Regional Health Consortium,222 Tongass Dr
North Star Hospital,2530 Debarr Rd
Alaska Psychiatric Institute,3700 Piper Street
Banner - University Medical Center Phoenix,1111 East Mcdowell Road
Tucson Medical Center,5301 East Grant Road
Verde Valley Medical Center,269 South Candy Lane
St. Mary'S Hospital,1601 West St Mary'S Road
St Joseph'S Hospital,350 North Wilmot Road
Yavapai Regional Medical Center,1003 Willow Creek Road
Yuma Regional Medical Center,2400 South Avenue A
John C. Lincoln North Mountain Hospital,250 East Dunlap Avenue
Banner Casa Grande Medical Center,1800 East Florence Boulevard
Valleywise Health Medical Center,2601 East Roosevelt Street
Flagstaff Medical Center,1200 North Beaver Street
St. Joseph'S Hospital And Medical Center,350 West Thomas Road
Abrazo Central Campus,2000 West Bethany Home Road
Chandler Regional Medical Center,1955 West Frye Road
Tempe St Lukes Hospital,1500 S Mill Ave
Honorhealth Scottsdale Osborn Medical Center,7400 East Osborn Road
Canyon Vista Medical Center,5700 East Highway 90
Kingman Regional Medical Center,3269 Stockton Hill Road
Banner Boswell Medical Center,10401 West Thunderbird Boulevard
Summit Healthcare Regional Medical Center,2200 East Show Low Lake Road
Banner - University Medical Center Tucson Campus,1625 North Campbell Avenue
Banner Desert Medical Center,1400 South  Dobson Road
Havasu Regional Medical Center,101 Civic Center Lane
Fort Defiance Indian Hospital,Po Box 649
Tuba City Regional Health Care Corporation,Po Box 600
