dID,speciality,About
D00808,Family Medicine,"Dr. Abell received his medical degree from the University of Vermont College of Medicine. He completed his internship and residency at Fletcher Allen Health Care at the University of Vermont in 1999. He is certified by the Board of Family Medicine. He was inducted into the Fellowship of the American Academy of Family Physicians in 2009 for his contributions and achievements in the field of Family Medicine. Dr. Abell is an experienced physician with special interests in diabetes, mental health, caring for seniors, preventive health and medical informatics. He takes the time to get to know his patients and, when needed, makes referrals to some of the region's top specialists at Strong Memorial and Highland Hospitals as well as Golisano Children's Hospital."
D00479,Internal Medicine,"Board Certified in Internal Medicine, Dr. Alagappan is a graduate of Madras Medical College (India) and completed his Internal Medicine residency at St. Mary's Hospital in Rochester. He has been named a National Board Diplomat in Internal Medicine, Family Medicine and Respiratory Medicine in India, and holds England's coveted qualification as a member of the Royal College of Physicians of the United Kingdom. Dr. Alagappan's international training includes sub-specialty experience in cardiology, geriatrics, pulmonology, rheumatology and rural primary care. Dr. Alagappan is affiliated with Strong Memorial Hospital and Highland Hospital, and is on the faculty of the University of Rochester School of Medicine and Dentistry."
D00264,Geriatrics,"Dr. Egan Allen is a member of the Division of Geriatrics and Aging at the University of Rochester Medical Center (URMC), and the Highland Hospital Geriatrics Group where he serves as a Geriatrician Hospitalist and provides medical care to patients in the Acute Care for Elders unit, the Palliative Care Program, and the Geriatric Fracture Center. URMC Division of geriatrics and Aginghttp://www.urmc.rochester.edu/medicine/geriatrics/ Highland Hospital Geriatrics Grouphttp://www.urmc.rochester.edu/highland/departments-centers/geriatrics/highlandgg.aspx Dr. Allen also cares for patients at the Highlands at Brighton skilled nursing facility in the long term ventilator unit, behavioral unit, and skilled nursing rehabilitation unit. He teaches medical residents and students at both Highland Hospital and the Highlands of Brighton, and has given lectures to members of the community in various settings on topics pertaining to aging.   Dr. Allen is a graduate of the University of Rochester School of Medicine and Dentistry."
D00881,Plastic Surgery,"Dr. Amalfi is a Board Certified Plastic Surgeon who was born and raised in the Rochester area.  She attended the George Washington University for her undergraduate education in Fine Arts and Art History.  She graduated in three years and pursued her Doctorate of Medicine degree from the University of Rochester's School of Medicine and Dentistry. She then completed a six year, integrated residency in Plastic and Reconstructive Surgery at Southern Illinois University in Springfield, Illinois."
D00305,GYN Oncology,
D00603,Internal Medicine,"Dr. Balaji is a graduate of Gandhi Medical College, Osmania University, India. He spent 5 years in England completing his postgraduate training and then completed his residency training in Internal Medicine at Highland Hospital. Dr Balaji served as Chief Resident in the Internal Medicine Program at Highland Hospital until 1996. He is board certified in Internal Medicine and is a Professor of Clinical Medicine at the University of Rochester School of Medicine where he is actively involved in teaching. He is also a Fellow of the American College of Physicians. His interests include treating diabetes, hypertension, and preventative care. During his spare time he likes to spend time with his family, traveling, reading and golf."
D00748,Emergency,"Dr. Bansal is a board certified physician in Emergency Medicine, and a fellow of the American College of Emergency Physicians.  He is the Assistant Medical Director for the Emergency Department at Highland Hospital.  Dr. Bansal is a native of Rochester, NY, completed his undergraduate and medical studies in Buffalo, NY, and returned to Rochester for his residency training.  He enjoys his professional life, and remains active at home with his wife and 3 children."
D00587,Family Medicine,"Steve Barnett, MD, was born in Brooklyn, grew up in New Jersey, went to college in Philadelphia, attended medical school in New Jersey and did his residency in Wisconsin. He came to Rochester for the family systems medicine fellowship and stayed in the area doing research, locum tenens family medicine and rural emergency department work. He joined the UR Department of Family Medicine faculty in 2002 in the research division. Dr. Barnett's primary academic focus is health and healthcare research with populations of Deaf American Sign Language (ASL) users and people with hearing loss, their families and communities. Dr. Barnett is the Director of the CDC-funded Rochester Prevention Research Center: National Center for Deaf Health Research, and is the Program Director at UR for the NIH-funded Rochester Bridges to the Doctorate program. He was also medical director (2002-2015) of the award-winning Strong Connections, the University of Rochester Medical Center's pioneering Telehealth Sign Language Interpreter Services Program."
D00813,Plastic Surgery,"The University of Rochester Medical Center is pleased to announce the addition of Derek Edward Bell, MD. Dr. Bell received his Bachelor of Science degree with honors from St. John Fisher College in Rochester, New York. He then went on to earn his medical degree from Upstate Medical University at Syracuse in Syracuse, New York.Prior to joining URMC, Dr. Bell completed his general surgery residency at the State University of Buffalo in Buffalo, New York. Most recently he was a plastic and reconstructive surgery fellow with The University of Virginia Medical Center in Charlottesville, Virginia.Dr. Bell has been involved in several plastic and reconstructive research studies focusing on surgical treatment for cleft palate; advances in ganglion cyst excision using the methylene blue injection technique and endoscopic abdominal diastases plication, among others. He has also volunteered with Physicians for Peace-Smile Train to assist in the surgical correction of cleft lips, palates and noses in underserved areas of the Dominican Republic as well as with SC Hope, where he provided free healthcare to homeless patients.In addition to being the recipient of numerous awards and honors including the Arthur P. Gold Foundation Humanism and Excellence in Teaching Award, Dr. Bell was a presidential scholar, a national recognition. He is an associate member of The American College of Surgeons."
D00510,Emergency,"Dr Bennett is Medical Director of the Highland Hospital ED Observation Unit. He was born in Boston, but spent his formative years in Brighton, NY, returning to the Boston vicinity for his college degree at Harvard College (BA '82). He went north for medical school in Montreal at McGill University (MDCM '86), returning to the Rochester for a residency in Medicine-Pediatrics ('86-'90).He began his practice of Emergency Medicine at The Genesee Hospital before shifting to Highland Hospital in 1993, where he has remained a fixture ever since. In 2011, Dr Bennett founded the Highland Hospital ED Observation unit which manages an array of patients with conditions such as chest pain, syncope, cellulitis, kidney stones, asthma and abdominal complaints.Dr Bennett has a special interest in the management of skin and soft tissue infections and has authored a chapter on the subject for the first Observation Medicine textbook.For leisure, Dr Bennett enjoys sports in every weather condition offered by Rochester (platform tennis, mountain biking, snowboarding) as well as supporting the Jazz Festival and the RPO. Considerable effort is taken to tame his woodland perennial garden and to defend its plants from woodchuck and deer."
D00486,Urology,"Dr. Bloom joins UR Medicine Urology after completing his fellowship in urologic oncology within the National Cancer Institute at the National Institutes of Health (NIH) in Bethesda, Maryland. Dr. Bloom completed his urology residency training at New York Medical College. He received his medical degree at the State University of New York Downstate in Brooklyn, New York where he was inducted into the Alpha Omega Alpha medical honor society.Dr. Bloom specializes in both minimally invasive/robotic and open urologic surgery of kidney, bladder, prostate, testicular, and penile cancer.Dr. Bloom has clinical and research interests in many areas of prostate cancer including molecular imaging, MRI-US fusion biopsies, active surveillance, focal therapy, and advanced disease. He has additional interest and research experience in kidney stone disease, benign prostate hypertrophy, and patient safety/outcomes."
D00978,Family Medicine,
D00488,Radiation Oncology,
D00452,Internal Medicine,
D00070,OB/GYN,
