mId,mName,Type,dosage
M0139,Amiorone,lozenges,"Oral administration: Take 600mg daily with meals. After one week, reduce to 200-400mg daily. Take medication for 20 days per month, maintaining a dose of 200mg daily."
M0057,Digoxin Lanoxin,injection,"Intravenous (IV) loading dose: 0.25-0.5mg, with an option for additional 0.25mg every 4-6 hours up to 1mg/day. Maintenance dose: 0.125-0.5mg/day. Maximum dose: 1.5mg per dose, 3mg/day (IV)."
M0009,Digoxin Lanoxin,lozenges,"Loading dose: 0.5~1.5mg orally divided into several times, maintenance dose: 0.125~0.375mg/day."
M0142,SR-Isoptin,lozenges,The usual dosage is 120~240mg daily.
M0000,KCL,injection,"Injection: 10~20ml/time, diluted with 1000ml of appropriate diluent and injected IV."
M0119,50/850 Galvus MET,lozenges,"Adults: Depending on the patient's current dose of metformin, the starting dose of Galvus Met may be 50 mg/500 mg, 50 mg/850 mg, or 50 mg/1000 mg tablets taken twice daily in the morning and evening. The recommended daily dose is 100 mg of vildagliptin plus 2000 mg of metformin. at the same time"
M0028,Trental,lozenges,The usual dosage is one tablet 2-3 times a day.
M0192,Vit C Vitacicol,injection,"1~2 ml is injected subcutaneously, intramuscularly or intravenously every day. In severe cases, it can be injected several times a day as necessary."
M0045,Trental,injection,"Once to twice a day, 100 to 600mg of Pentoxifylline should be administered with 100 to 500ml of infusion solution each time."
M0071,SATA,injection,1. Vaginal trichomoniasis: 150mg three times a day. 2. Amoebic dysentery and various intestinal amoebiasis: 300mg twice a day.
M0033,Cravit,lozenges,Oral administration is usually 500 mg once a day for adults.
M0082,Lasix Rasitol,injection,"Adults: 20~40mg IM or IV, every 2~3 hours. Children: 1 mg/kg/day IM or IV, maximum 6 mg/kg/day."
M0084,Lasix Rasitol,oral,"Adults, diuretic effect 20~80mg/day. Antihypertensive effect: 40~80mg/day, divided into 1~2 times. Children, 2 mg/kg/day, maximum 6 mg/kg/day."
M0044,Ciproxin,injection,"Twice a day, infuse 100~200mg each time, taking about 30~60 minutes. Gonorrhea can be given as a single infusion of 100mg."
M0151,Primperan、Promeran,lozenges,"Oral administration: Adults, 10~30mg/day, divided into 2~3 times before meals, children 0.2~0.4mg/kg/day."
